name;link
Dombrovskis_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=b6e5c82b-130b-4eb0-be25-9ac9755feda4
Dombrovskis;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=fbe1f6cd-3c9d-4c46-a011-e5da20af9f7c
Schmit;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=93aa2947-6750-4e9b-b75e-9f0d34ab7e54
Schmit_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=b03ac2fa-d5dc-4afe-b3cf-4eef1d50226c
Von der Leyen;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=c8e208ad-7dc2-4a97-acc9-859463c69ec4
Von der Leyen_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=acabb6af-0317-4a5a-a788-d0b0218dfecd
Vestager;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=0871ac61-9c08-4cf3-831f-e98984b76783
Vestager_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=d8a59d72-9a30-4dd4-a283-ba9c68e214e2
Borrell;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=da0a9b50-ac7c-47dd-8c54-bc621602b6b3
Borrell_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=71626ce8-712f-4bac-818f-d602ca15ae46
Sefcovic;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=2f7790f4-cb38-4c96-bfa2-5347b4152d8c
Sefcovic_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=f16b401c-c084-4b1a-826d-6f96c5258892
Jourova;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=f3958636-8c89-4ccb-bbd6-523fcd8fc23c
Jourova_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=93223f3a-d664-4f95-bb8e-2397f3c0cff6
Suica;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=513c9534-c8e7-4a90-ba90-47b808aded92
Suica_cabinet;https://ec.europa.eu/transparencyinitiative/meetings/exportmeetings.do?host=cc25ef28-354e-45fc-98e6-b29aade1cc60
