commissioner;category;persons;date;year;month;day;met_with;subject;link
Dombrovskis_cabinet;cabinet;Andrea Beltramello;20.04.2023;2023.0;4.0;20.0;ICI Global;Corporate sustainability due diligence, sustainable finance, retail investment strategy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=296711210890-30
Dombrovskis_cabinet;cabinet;Andrea Beltramello;19.04.2023;2023.0;4.0;19.0;European Copper Institute, Aurubis AG;Sustainable Finance Taxonomy;
Dombrovskis_cabinet;cabinet;Michael Hager;04.04.2023;2023.0;4.0;4.0;Suzano S.A.;State-of-play of the Mercosur agreement;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=225042848526-35
Dombrovskis_cabinet;cabinet;Michael Hager;04.04.2023;2023.0;4.0;4.0;UniCredit;Current regulatory topics related to financial services;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=03094871618-32
Schmit_cabinet;cabinet;Ana Carla  Pereira;19.04.2023;2023.0;4.0;19.0;European Social Insurance Platform AISBL;the initiatives of the Commission in 2023;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=883980785-32
Von der Leyen_cabinet;cabinet;Valeria Miceli;20.04.2023;2023.0;4.0;20.0;Deutscher Sparkassen-und Giroverband;Retail Investment Strategy and CMDI Review;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=62379064909-15
Von der Leyen_cabinet;cabinet;Peter van Kemseke;05.04.2023;2023.0;4.0;5.0;ChargeUp Europe;On energy/transport and cleantech;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=987000037766-14
Von der Leyen_cabinet;cabinet;Anthony Whelan;03.04.2023;2023.0;4.0;3.0;Nokia;Patent Package - SEPs;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=35167875358-33
Timmermans_cabinet;cabinet;Helena Braun;20.04.2023;2023.0;4.0;20.0;SYSTEMIQ LIMITED;Transition to a circular plastics economy in the EU;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=538958337111-82
Timmermans_cabinet;cabinet;Antoine Colombani;20.04.2023;2023.0;4.0;20.0;Zurich Insurance Company Ltd;"Sustainable finance; retail investment strategy";https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=499059113403-37
